mode,name,set,accuracy,precision,recall,f1-score,support,report
Type,Proposed_Hybrid_CNN_LSTM,0,0.9580895972648852,0.709735956431795,0.6900174324307834,0.6420729874803996,3073509,"{'Back': {'precision': 0.15509032348410587, 'recall': 0.9219562955254943, 'f1-score': 0.2655158979891516, 'support': 4805}, 'HTTP': {'precision': 0.9773055332798717, 'recall': 0.2957578993350483, 'f1-score': 0.454094940010433, 'support': 41206}, 'ICMP': {'precision': 0.998290802130535, 'recall': 0.9580392904825482, 'f1-score': 0.9777509586747902, 'support': 26215}, 'TCP': {'precision': 1.0, 'recall': 0.999997523452901, 'f1-score': 0.9999987617249172, 'support': 403788}, 'UDP': {'precision': 0.9999984379564096, 'recall': 0.9999468932554434, 'f1-score': 0.9999726649416945, 'support': 640220}, 'MITM': {'precision': 1.0, 'recall': 0.9861111111111112, 'f1-score': 0.993006993006993, 'support': 72}, 'Normal': {'precision': 0.951662108142226, 'recall': 0.999951200152867, 'f1-score': 0.9752092416382904, 'support': 1700825}, 'Fing': {'precision': 0.08878127522195318, 'recall': 0.6432748538011696, 'f1-score': 0.15602836879432624, 'support': 171}, 'Pwd': {'precision': 0.932251850039753, 'recall': 0.6078244702856545, 'f1-score': 0.7358667612050628, 'support': 200627}, 'Port': {'precision': 0.7294677153832083, 'recall': 0.9982478097622027, 'f1-score': 0.8429507503699006, 'support': 3995}, 'Rans': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 1938}, 'SQL': {'precision': 0.5377086931491076, 'recall': 0.5513034923757993, 'f1-score': 0.5444212367027736, 'support': 10165}, 'Upload': {'precision': 0.8198228882833788, 'recall': 0.32699361499796226, 'f1-score': 0.4675148101388754, 'support': 7361}, 'Scan': {'precision': 0.9891525423728813, 'recall': 0.8019788374330081, 'f1-score': 0.8857858389618275, 'support': 29108}, 'XSS': {'precision': 0.4665071770334928, 'recall': 0.258878194490541, 'f1-score': 0.3329775880469584, 'support': 3013}, 'accuracy': 0.9580895972648852, 'macro avg': {'precision': 0.709735956431795, 'recall': 0.6900174324307834, 'f1-score': 0.6420729874803996, 'support': 3073509}, 'weighted avg': {'precision': 0.963569203711207, 'recall': 0.9580895972648852, 'f1-score': 0.954977480037229, 'support': 3073509}}"
Type,Inspired_CNN_LSTM,0,0.9538654352403068,0.705689484743519,0.6597872530734076,0.622639680001303,3073509,"{'Back': {'precision': 0.6745526235972096, 'recall': 0.4628511966701353, 'f1-score': 0.549000246852629, 'support': 4805}, 'HTTP': {'precision': 0.6456180416785612, 'recall': 0.27442605445808865, 'f1-score': 0.38514330478023195, 'support': 41206}, 'ICMP': {'precision': 0.9978121643661243, 'recall': 0.9568567613961473, 'f1-score': 0.9769054017213848, 'support': 26215}, 'TCP': {'precision': 0.9999603740687906, 'recall': 0.9999306566812287, 'f1-score': 0.9999455151542168, 'support': 403788}, 'UDP': {'precision': 0.999996875961618, 'recall': 0.9999609509231202, 'f1-score': 0.9999789131197102, 'support': 640220}, 'MITM': {'precision': 1.0, 'recall': 0.9722222222222222, 'f1-score': 0.9859154929577464, 'support': 72}, 'Normal': {'precision': 0.9551047454857378, 'recall': 0.9999841253509326, 'f1-score': 0.9770293287223868, 'support': 1700825}, 'Fing': {'precision': 0.08716707021791767, 'recall': 0.631578947368421, 'f1-score': 0.15319148936170213, 'support': 171}, 'Pwd': {'precision': 0.9159792637996805, 'recall': 0.5601240112248103, 'f1-score': 0.6951572943698173, 'support': 200627}, 'Port': {'precision': 0.7372019959342081, 'recall': 0.9984981226533166, 'f1-score': 0.8481820114820328, 'support': 3995}, 'Rans': {'precision': 0.030744457759137207, 'recall': 0.4236326109391125, 'f1-score': 0.05732839885482857, 'support': 1938}, 'SQL': {'precision': 0.45812637172230564, 'recall': 0.39016232169208065, 'f1-score': 0.42142174051641695, 'support': 10165}, 'Upload': {'precision': 0.7064451158106747, 'recall': 0.38119820676538513, 'f1-score': 0.4951910350304421, 'support': 7361}, 'Scan': {'precision': 0.7099665040841512, 'recall': 0.8301154321835922, 'f1-score': 0.7653542808273416, 'support': 29108}, 'XSS': {'precision': 0.6666666666666666, 'recall': 0.015267175572519083, 'f1-score': 0.029850746268656712, 'support': 3013}, 'accuracy': 0.9538654352403068, 'macro avg': {'precision': 0.705689484743519, 'recall': 0.6597872530734076, 'f1-score': 0.622639680001303, 'support': 3073509}, 'weighted avg': {'precision': 0.9578144678469764, 'recall': 0.9538654352403068, 'f1-score': 0.9510975771993735, 'support': 3073509}}"
Type,Dataset_Authors,0,0.7705632226878139,0.33204926919590544,0.3367961239887958,0.2782945287412344,3073509,"{'Back': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 4805}, 'HTTP': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 41206}, 'ICMP': {'precision': 0.9726114649681529, 'recall': 0.9902345985123021, 'f1-score': 0.9813439183442019, 'support': 26215}, 'TCP': {'precision': 0.9629629629629629, 'recall': 0.00012878044914658188, 'f1-score': 0.0002575264583673813, 'support': 403788}, 'UDP': {'precision': 0.9999984362612256, 'recall': 0.9988628908812596, 'f1-score': 0.9994303410217759, 'support': 640220}, 'MITM': {'precision': 0.9857142857142858, 'recall': 0.9583333333333334, 'f1-score': 0.971830985915493, 'support': 72}, 'Normal': {'precision': 0.7839010980400111, 'recall': 0.9999118075051813, 'f1-score': 0.8788275512637563, 'support': 1700825}, 'Fing': {'precision': 0.22174840085287847, 'recall': 0.6081871345029239, 'f1-score': 0.32499999999999996, 'support': 171}, 'Pwd': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 200627}, 'Port': {'precision': 0.008347843684518966, 'recall': 0.4956195244055069, 'f1-score': 0.016419135756399732, 'support': 3995}, 'Rans': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 1938}, 'SQL': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 10165}, 'Upload': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 7361}, 'Scan': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 29108}, 'XSS': {'precision': 0.045454545454545456, 'recall': 0.0006637902422834385, 'f1-score': 0.0013084723585214263, 'support': 3013}, 'accuracy': 0.7705632226878139, 'macro avg': {'precision': 0.33204926919590544, 'recall': 0.3367961239887958, 'f1-score': 0.2782945287412344, 'support': 3073509}, 'weighted avg': {'precision': 0.7769968062452993, 'recall': 0.7705632226878139, 'f1-score': 0.7029789609939822, 'support': 3073509}}"
Type,Proposed_Hybrid_CNN_LSTM,1,0.9649407241039476,0.7239824226010771,0.6602011172708987,0.6540935189824171,3073509,"{'Back': {'precision': 0.7058252427184466, 'recall': 0.4539021852237253, 'f1-score': 0.5525015832805573, 'support': 4805}, 'HTTP': {'precision': 0.9928254185172531, 'recall': 0.2820948405572004, 'f1-score': 0.4393544241599577, 'support': 41206}, 'ICMP': {'precision': 0.9993014049522627, 'recall': 0.9821857715048636, 'f1-score': 0.9906696677632213, 'support': 26215}, 'TCP': {'precision': 1.0, 'recall': 0.999997523452901, 'f1-score': 0.9999987617249172, 'support': 403788}, 'UDP': {'precision': 0.9999796944483059, 'recall': 0.9999781325169473, 'f1-score': 0.9999789134820166, 'support': 640220}, 'MITM': {'precision': 0.9861111111111112, 'recall': 0.9861111111111112, 'f1-score': 0.9861111111111112, 'support': 72}, 'Normal': {'precision': 0.9595190260915877, 'recall': 0.9999470845031088, 'f1-score': 0.9793159957988226, 'support': 1700825}, 'Fing': {'precision': 0.18448275862068966, 'recall': 0.6257309941520468, 'f1-score': 0.2849533954727031, 'support': 171}, 'Pwd': {'precision': 0.8597552356945982, 'recall': 0.7276338678243706, 'f1-score': 0.7881961973203607, 'support': 200627}, 'Port': {'precision': 0.7372599704579025, 'recall': 0.9994993742177722, 'f1-score': 0.8485814472425884, 'support': 3995}, 'Rans': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 1938}, 'SQL': {'precision': 0.484372388433896, 'recall': 0.5701918347270044, 'f1-score': 0.5237901586010573, 'support': 10165}, 'Upload': {'precision': 0.6504927975739196, 'recall': 0.11656024996603723, 'f1-score': 0.1976958525345622, 'support': 7361}, 'Scan': {'precision': 0.985191056232271, 'recall': 0.8113577023498695, 'f1-score': 0.8898643556895253, 'support': 29108}, 'XSS': {'precision': 0.3146202341639147, 'recall': 0.34782608695652173, 'f1-score': 0.33039092055485497, 'support': 3013}, 'accuracy': 0.9649407241039476, 'macro avg': {'precision': 0.7239824226010771, 'recall': 0.6602011172708987, 'f1-score': 0.6540935189824171, 'support': 3073509}, 'weighted avg': {'precision': 0.963505334455356, 'recall': 0.9649407241039476, 'f1-score': 0.9603644552292713, 'support': 3073509}}"
Type,Inspired_CNN_LSTM,1,0.9642255805985926,0.6898710549187502,0.6261810809974525,0.6300938159047248,3073509,"{'Back': {'precision': 0.6757990867579908, 'recall': 0.4620187304890739, 'f1-score': 0.5488257107540173, 'support': 4805}, 'HTTP': {'precision': 0.9349048050770625, 'recall': 0.3753822258894336, 'f1-score': 0.5356790358608509, 'support': 41206}, 'ICMP': {'precision': 0.9993798449612403, 'recall': 0.9835590310890712, 'f1-score': 0.9914063250985293, 'support': 26215}, 'TCP': {'precision': 1.0, 'recall': 0.999997523452901, 'f1-score': 0.9999987617249172, 'support': 403788}, 'UDP': {'precision': 0.9999984380076475, 'recall': 0.9999796944800224, 'f1-score': 0.999989066156004, 'support': 640220}, 'MITM': {'precision': 1.0, 'recall': 0.9861111111111112, 'f1-score': 0.993006993006993, 'support': 72}, 'Normal': {'precision': 0.9594168627831466, 'recall': 0.999992356650449, 'f1-score': 0.9792844905588786, 'support': 1700825}, 'Fing': {'precision': 0.19669117647058823, 'recall': 0.6257309941520468, 'f1-score': 0.2993006993006993, 'support': 171}, 'Pwd': {'precision': 0.823487933932782, 'recall': 0.7276338678243706, 'f1-score': 0.7725991727992252, 'support': 200627}, 'Port': {'precision': 0.7373961218836566, 'recall': 0.9994993742177722, 'f1-score': 0.8486716259298619, 'support': 3995}, 'Rans': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 1938}, 'SQL': {'precision': 0.006269592476489028, 'recall': 0.00019675356615838662, 'f1-score': 0.0003815337657382678, 'support': 10165}, 'Upload': {'precision': 0.7211972119721197, 'recall': 0.23896209754109496, 'f1-score': 0.3589795918367347, 'support': 7361}, 'Scan': {'precision': 0.9899786501677487, 'recall': 0.7805757867252989, 'f1-score': 0.8728942161777983, 'support': 29108}, 'XSS': {'precision': 0.30354609929078014, 'recall': 0.21307666777298373, 'f1-score': 0.250390015600624, 'support': 3013}, 'accuracy': 0.9642255805985926, 'macro avg': {'precision': 0.6898710549187502, 'recall': 0.6261810809974525, 'f1-score': 0.6300938159047248, 'support': 3073509}, 'weighted avg': {'precision': 0.9588862833068875, 'recall': 0.9642255805985926, 'f1-score': 0.959040103552812, 'support': 3073509}}"
Type,Dataset_Authors,1,0.7655367204065451,0.18010866114429896,0.18947284451146557,0.18270188921410882,3073509,"{'Back': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 4805}, 'HTTP': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 41206}, 'ICMP': {'precision': 0.9990236975237419, 'recall': 0.8587449933244325, 'f1-score': 0.9235881761677163, 'support': 26215}, 'TCP': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 403788}, 'UDP': {'precision': 0.9999793512807765, 'recall': 0.9833588453968948, 'f1-score': 0.9915994578669537, 'support': 640220}, 'MITM': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 72}, 'Normal': {'precision': 0.7026268683599661, 'recall': 0.9999888289506563, 'f1-score': 0.8253407041769625, 'support': 1700825}, 'Fing': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 171}, 'Pwd': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 200627}, 'Port': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 3995}, 'Rans': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 1938}, 'SQL': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 10165}, 'Upload': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 7361}, 'Scan': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 29108}, 'XSS': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 3013}, 'accuracy': 0.7655367204065451, 'macro avg': {'precision': 0.18010866114429896, 'recall': 0.18947284451146557, 'f1-score': 0.18270188921410882, 'support': 3073509}, 'weighted avg': {'precision': 0.6056405007715622, 'recall': 0.7655367204065451, 'f1-score': 0.6711591773883206, 'support': 3073509}}"
Type,Proposed_Hybrid_CNN_LSTM,2,0.9736210305549781,0.8198204290455038,0.7062692176688662,0.7425159967569533,3073509,"{'Back': {'precision': 0.6975502512562815, 'recall': 0.46222684703433925, 'f1-score': 0.5560145199649519, 'support': 4805}, 'HTTP': {'precision': 0.8206195665483041, 'recall': 0.6505848662816095, 'f1-score': 0.7257763218453042, 'support': 41206}, 'ICMP': {'precision': 0.9982477525521865, 'recall': 0.9996566851039481, 'f1-score': 0.9989517220348028, 'support': 26215}, 'TCP': {'precision': 1.0, 'recall': 0.9999876172645051, 'f1-score': 0.9999938085939193, 'support': 403788}, 'UDP': {'precision': 0.9999984380052077, 'recall': 0.9999781325169473, 'f1-score': 0.9999882851579981, 'support': 640220}, 'MITM': {'precision': 1.0, 'recall': 0.9861111111111112, 'f1-score': 0.993006993006993, 'support': 72}, 'Normal': {'precision': 0.9637673562212642, 'recall': 0.9998877015565976, 'f1-score': 0.9814953220326462, 'support': 1700825}, 'Fing': {'precision': 0.8941176470588236, 'recall': 0.4444444444444444, 'f1-score': 0.5937499999999999, 'support': 171}, 'Pwd': {'precision': 0.9705452728893835, 'recall': 0.7650166727309884, 'f1-score': 0.8556114257681844, 'support': 200627}, 'Port': {'precision': 0.7372990947718455, 'recall': 0.9989987484355445, 'f1-score': 0.8484268707482993, 'support': 3995}, 'Rans': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 1938}, 'SQL': {'precision': 0.6744303797468354, 'recall': 0.5241515002459419, 'f1-score': 0.5898699141987268, 'support': 10165}, 'Upload': {'precision': 0.9565732333201737, 'recall': 0.3291672327129466, 'f1-score': 0.4897917930058622, 'support': 7361}, 'Scan': {'precision': 0.9859399745065471, 'recall': 0.876906692318263, 'f1-score': 0.928232449042675, 'support': 29108}, 'XSS': {'precision': 0.5982174688057041, 'recall': 0.5569200132758049, 'f1-score': 0.576830525953936, 'support': 3013}, 'accuracy': 0.9736210305549781, 'macro avg': {'precision': 0.8198204290455038, 'recall': 0.7062692176688662, 'f1-score': 0.7425159967569533, 'support': 3073509}, 'weighted avg': {'precision': 0.9724480839755604, 'recall': 0.9736210305549781, 'f1-score': 0.9714287159957532, 'support': 3073509}}"
Type,Inspired_CNN_LSTM,2,0.9739363053760376,0.835796468482516,0.708685160675548,0.7458099945323204,3073509,"{'Back': {'precision': 0.6939614290230793, 'recall': 0.45681581685744016, 'f1-score': 0.5509538152610443, 'support': 4805}, 'HTTP': {'precision': 0.8209531217279444, 'recall': 0.6659709751007135, 'f1-score': 0.7353851513405597, 'support': 41206}, 'ICMP': {'precision': 0.9982099329677027, 'recall': 0.9997711234026321, 'f1-score': 0.9989899182405518, 'support': 26215}, 'TCP': {'precision': 1.0, 'recall': 0.999997523452901, 'f1-score': 0.9999987617249172, 'support': 403788}, 'UDP': {'precision': 0.9999859422444924, 'recall': 0.9999796944800224, 'f1-score': 0.9999828183524986, 'support': 640220}, 'MITM': {'precision': 1.0, 'recall': 0.9861111111111112, 'f1-score': 0.993006993006993, 'support': 72}, 'Normal': {'precision': 0.9637481272283432, 'recall': 0.999978245851278, 'f1-score': 0.9815289695344717, 'support': 1700825}, 'Fing': {'precision': 0.8651685393258427, 'recall': 0.4502923976608187, 'f1-score': 0.5923076923076922, 'support': 171}, 'Pwd': {'precision': 0.9794654768515859, 'recall': 0.7648322508934491, 'f1-score': 0.8589437151893421, 'support': 200627}, 'Port': {'precision': 0.7373961218836566, 'recall': 0.9994993742177722, 'f1-score': 0.8486716259298619, 'support': 3995}, 'Rans': {'precision': 0.25, 'recall': 0.0041279669762641896, 'f1-score': 0.008121827411167513, 'support': 1938}, 'SQL': {'precision': 0.6659616655651025, 'recall': 0.4956222331529759, 'f1-score': 0.568302312464749, 'support': 10165}, 'Upload': {'precision': 0.9444249032711924, 'recall': 0.36476022279581577, 'f1-score': 0.5262642101136809, 'support': 7361}, 'Scan': {'precision': 0.967787956149572, 'recall': 0.8855984609042188, 'f1-score': 0.9248708381171067, 'support': 29108}, 'XSS': {'precision': 0.6498838109992254, 'recall': 0.5569200132758049, 'f1-score': 0.5998212689901699, 'support': 3013}, 'accuracy': 0.9739363053760376, 'macro avg': {'precision': 0.835796468482516, 'recall': 0.708685160675548, 'f1-score': 0.7458099945323204, 'support': 3073509}, 'weighted avg': {'precision': 0.9729934437072044, 'recall': 0.9739363053760376, 'f1-score': 0.9717976862010643, 'support': 3073509}}"
Type,Dataset_Authors,2,0.7692002854066801,0.1752146723731426,0.19741462856900396,0.18459719717154163,3073509,"{'Back': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 4805}, 'HTTP': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 41206}, 'ICMP': {'precision': 0.9219103171709807, 'recall': 0.9646385657066565, 'f1-score': 0.942790567620468, 'support': 26215}, 'TCP': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 403788}, 'UDP': {'precision': 1.0, 'recall': 0.9965808628284027, 'f1-score': 0.998287503784468, 'support': 640220}, 'MITM': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 72}, 'Normal': {'precision': 0.7063097684261583, 'recall': 1.0, 'f1-score': 0.8278798861681889, 'support': 1700825}, 'Fing': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 171}, 'Pwd': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 200627}, 'Port': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 3995}, 'Rans': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 1938}, 'SQL': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 10165}, 'Upload': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 7361}, 'Scan': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 29108}, 'XSS': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 3013}, 'accuracy': 0.7692002854066801, 'macro avg': {'precision': 0.1752146723731426, 'recall': 0.19741462856900396, 'f1-score': 0.18459719717154163, 'support': 3073509}, 'weighted avg': {'precision': 0.6070251269308331, 'recall': 0.7692002854066801, 'f1-score': 0.674121236604504, 'support': 3073509}}"
Type,Proposed_Hybrid_CNN_LSTM,3,0.9737381605194584,0.7821082541002264,0.7261521798284665,0.7300387190127975,3073509,"{'Back': {'precision': 0.6993360733480872, 'recall': 0.4603537981269511, 'f1-score': 0.5552208835341366, 'support': 4805}, 'HTTP': {'precision': 0.8464979591836734, 'recall': 0.6291316798524487, 'f1-score': 0.7218053486656179, 'support': 41206}, 'ICMP': {'precision': 0.9996879144885699, 'recall': 0.9775319473583826, 'f1-score': 0.9884857952901696, 'support': 26215}, 'TCP': {'precision': 1.0, 'recall': 0.9999950469058021, 'f1-score': 0.9999975234467677, 'support': 403788}, 'UDP': {'precision': 0.9999984380247261, 'recall': 0.9999906282215488, 'f1-score': 0.9999945331078891, 'support': 640220}, 'MITM': {'precision': 1.0, 'recall': 0.9861111111111112, 'f1-score': 0.993006993006993, 'support': 72}, 'Normal': {'precision': 0.9638008075370121, 'recall': 0.9999541399026943, 'f1-score': 0.9815446767375089, 'support': 1700825}, 'Fing': {'precision': 0.15373563218390804, 'recall': 0.6257309941520468, 'f1-score': 0.24682814302191464, 'support': 171}, 'Pwd': {'precision': 0.9765288982770468, 'recall': 0.7650166727309884, 'f1-score': 0.8579286135511838, 'support': 200627}, 'Port': {'precision': 0.7373961218836566, 'recall': 0.9994993742177722, 'f1-score': 0.8486716259298619, 'support': 3995}, 'Rans': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 1938}, 'SQL': {'precision': 0.6204173166926678, 'recall': 0.625971470732907, 'f1-score': 0.623182018510357, 'support': 10165}, 'Upload': {'precision': 0.9215106732348112, 'recall': 0.38119820676538513, 'f1-score': 0.5393042475494907, 'support': 7361}, 'Scan': {'precision': 0.9607302533532042, 'recall': 0.885873299436581, 'f1-score': 0.9217845141917494, 'support': 29108}, 'XSS': {'precision': 0.8519837232960326, 'recall': 0.5559243279123797, 'f1-score': 0.672825868648323, 'support': 3013}, 'accuracy': 0.9737381605194584, 'macro avg': {'precision': 0.7821082541002264, 'recall': 0.7261521798284665, 'f1-score': 0.7300387190127975, 'support': 3073509}, 'weighted avg': {'precision': 0.9729255475502504, 'recall': 0.9737381605194584, 'f1-score': 0.971708138951321, 'support': 3073509}}"
