,Std,Median,Mean,Mode,Model
accuracy,0.1365952021565763,0.7702710484986379,0.7381057367979076,Binary,Dataset Authors
precision,0.07695996631377885,0.8533185683862625,0.8344003762175949,Binary,Dataset Authors
recall,0.12646484403878117,0.7428130779000055,0.7206722227327688,Binary,Dataset Authors
f1-score,0.18788035434130382,0.7409388924754599,0.6894790449524345,Binary,Dataset Authors
accuracy,0.11359921262142032,0.6556496174242534,0.6595939689781288,Multiclass,Dataset Authors
precision,0.09624352694358501,0.10925382684215246,0.13408723991022012,Multiclass,Dataset Authors
recall,0.08780492169153695,0.129023509563126,0.15489205360226338,Multiclass,Dataset Authors
f1-score,0.07777140028718021,0.1149735241880753,0.1344620481607073,Multiclass,Dataset Authors
accuracy,0.0018262066371762115,0.9791734789128648,0.9785001849677355,Binary,Inspired
precision,0.0015175463446327983,0.9818574514301581,0.9812965104707904,Binary,Inspired
recall,0.0020453168762964396,0.976688644686647,0.9759353142826939,Binary,Inspired
f1-score,0.0018692559420214285,0.978829051436397,0.9781399599459537,Binary,Inspired
accuracy,0.007638009402632908,0.9741965941859939,0.9700734974259064,Multiclass,Inspired
precision,0.07471680700439624,0.8361308214752016,0.8133456900421361,Multiclass,Inspired
recall,0.04462341937603819,0.7146892162100397,0.7076287098851719,Multiclass,Inspired
f1-score,0.06421936541839549,0.7533938789773151,0.728169479859577,Multiclass,Inspired
